Manufacturer Part Number,Manufacturer,Customer Reference,Reference Designator,Quantity
Z84C0008PEG,Zilog,Z80CPU,U1,1
Z84C4008PEG,Zilog,Z80SIO,U2,1
Z84C2008PEG,Zilog,Z80PIO,U5,1
Z84C3008PEG,Zilog,Z80CTC,U7,1
AT28C256-15PU,Microchip Technology,ROM,U4,1
AS6C62256-55PCN,"Alliance Memory, Inc.",RAM,U6,1
SN74HC139N,Texas Instruments,74HC139,U8,1
SN74HC138N,Texas Instruments,74HC138,U10,1
ULN2803A,STMicroelectronics,ULN2803A,U9,1
MAX202CPE+,Maxim Integrated,MAX202,U3,1
MXO45HST-3C-8M000000,CTS-Frequency Controls,SYS_CLK,X1,1
MXO45HS-3C-1M843200,CTS-Frequency Controls,1.8432MHz,X2,1
61304021121,Würth Elektronik,Z80BUS,J1,1
PJ-102A,CUI Devices,5V_IN,J2,1
A-DS 09 A/KG-T2S,Assmann WSW Components,RS232,J3,1
61300911121,Würth Elektronik,CPUHDR,J4,1
61301021121,Würth Elektronik,PIOHDR,"J5, J6",2
61300611121,Würth Elektronik,SIOHDR,"J7, J8",2
61300211121,Würth Elektronik,,"J9, J10, J12, JP1-JP5",8
61300811121,Würth Elektronik,CTCHDR,J11,1
RC0805FR-07220RL,Yageo,220,"R1, R2",2
RC0805JR-071KL,Yageo,1k,R3-R8,6
RC0805FR-072K2L,Yageo,2.2k,R9-R16,8
RC0805FR-07100KL,Yageo,100k,R17-R20,4
1825910-6,TE Connectivity ALCOSWITCH Switches,Reset,SW1,1
C0805C104M3RACTU,KEMET,0.1u,C1-C16,16
C0805C106K8PACTU,KEMET,10u,C17,1
151031SS04000,Würth Elektronik,"PWR_LED, RUN_LED","D1, D2",2
A 40-LC-TT,Assmann WSW Components,SOCKET40,"U1, U2, U5",3
A 28-LC-TT,Assmann WSW Components,SOCKET28,"U4, U6, U7",3
A 16-LC-TT,Assmann WSW Components,SOCKET16,"U3, U8, U10",3
A 18-LC-TT,Assmann WSW Components,SOCKET18,U9,1
